"class" "posterior.FALSE" "posterior.TRUE" "LD1" "class" "posterior.FALSE" "posterior.TRUE" "LD1" "class" "posterior.FALSE" "posterior.TRUE" "LD1" "class" "posterior.FALSE" "posterior.TRUE" "LD1" "Decade"
"1" "TRUE" 1.43746429651952e-07 0.99999985625357 4.01460514689421 "TRUE" 0.129869133175429 0.870130866824571 1.11402742133263 "FALSE" 0.859757909854104 0.140242090145896 -1.76586075503640 "FALSE" 0.99183881757651 0.00816118242348903 -2.55624916219813 "1930s"
"2" "TRUE" 3.47039425575014e-12 0.99999999999653 6.72364008006844 "TRUE" 0.0791722076803787 0.920827792319621 1.43704713049928 "FALSE" 0.856355739861252 0.143644260138748 -1.73865662884161 "FALSE" 0.998773012689209 0.00122698731079127 -3.56901707973978 "1930s"
"3" "TRUE" 8.47874550823386e-08 0.999999915212545 4.14912081956682 "TRUE" 0.498327827354019 0.501672172645981 0.00391743255760291 "FALSE" 0.796106919445529 0.203893080554471 -1.32651585613752 "FALSE" 0.947841549661001 0.0521584503389988 -1.54429269507541 "1930s"
"4" "TRUE" 6.05044544594641e-08 0.999999939495546 4.23510192238699 "TRUE" 0.139499296883381 0.86050070311662 1.06561442617872 "FALSE" 0.65293356931165 0.34706643068835 -0.615432528424098 "FALSE" 0.992018720864724 0.00798127913527617 -2.568216102116 "1930s"
"5" "TRUE" 3.53089840812989e-07 0.99999964691016 3.78561348525542 "TRUE" 0.0784381804375742 0.921561819562426 1.44296911890417 "FALSE" 0.799175527344503 0.200824472655497 -1.34503026813875 "FALSE" 0.994884846318886 0.0051151536811137 -2.80667168521423 "1930s"
"6" "TRUE" 5.65324608902739e-05 0.99994346753911 2.49221633139792 "TRUE" 0.0260895830642502 0.97391041693575 2.1200268632744 "FALSE" 0.781271935896723 0.218728064103277 -1.23980076055817 "FALSE" 0.997084640141258 0.00291535985874177 -3.10724540604584 "1930s"
"7" "TRUE" 2.59109696789123e-09 0.999999997408903 5.03791918033717 "TRUE" 0.0422713041039207 0.95772869589608 1.82758201912055 "FALSE" 0.920324863153623 0.0796751368463775 -2.3827825404066 "FALSE" 0.998595015058445 0.00140498494155558 -3.49678272643463 "1930s"
"8" "TRUE" 1.09882483615628e-05 0.999989011751639 2.90960577990329 "TRUE" 0.173491053653927 0.826508946346073 0.914292742614644 "FALSE" 0.697615539928131 0.302384460071869 -0.8141070816422 "FALSE" 0.9802380345657 0.0197619654342995 -2.07902767099723 "1930s"
"9" "TRUE" 0.000144497688086914 0.999855502311913 2.25306672802263 "TRUE" 0.00306479591677243 0.996935204083228 3.38797349482751 "FALSE" 0.83165351802089 0.16834648197911 -1.55561752635189 "FALSE" 0.999652127400004 0.000347872599996414 -4.24073306286203 "1930s"
"10" "TRUE" 8.30881567916226e-06 0.99999169118432 2.98082855921835 "TRUE" 0.0163912003553072 0.983608799644693 2.39804838860967 "FALSE" 0.684099485255899 0.315900514744101 -0.7524694050163 "FALSE" 0.998596119558492 0.00140388044150763 -3.49720211986380 "1930s"
"11" "TRUE" 3.66047651297596e-07 0.999999633952349 3.77642983452010 "TRUE" 0.0096055620242665 0.990394437975733 2.71506254475449 "FALSE" 0.876940974168466 0.123059025831534 -1.91241994972912 "FALSE" 0.99945768434602 0.000542315653979263 -4.0041785359176 "1930s"
"12" "TRUE" 1.17281257898635e-07 0.999999882718742 4.06645308568742 "TRUE" 0.137625144421826 0.862374855578174 1.07481046294615 "FALSE" 0.756529189362911 0.243470810637089 -1.10409498622548 "FALSE" 0.991474706766252 0.00852529323374848 -2.53280944517624 "1930s"
"13" "TRUE" 0.00131008747215302 0.998689912527847 1.69101639200749 "TRUE" 0.110465042827114 0.889534957172886 1.22172382336949 "FALSE" 0.593606349073545 0.406393650926455 -0.368985477466945 "FALSE" 0.979173268669642 0.0208267313303574 -2.05050255205517 "1930s"
"14" "TRUE" 1.17236016372656e-08 0.999999988276398 4.65327588810573 "TRUE" 0.293075873042411 0.70692412695759 0.515684557594151 "FALSE" 0.840431882830254 0.159568117169746 -1.61799578429692 "FALSE" 0.982940173235506 0.0170598267644937 -2.1587934207316 "1930s"
"15" "TRUE" 5.48356655683395e-05 0.999945164334432 2.49998192819506 "TRUE" 0.33636781955729 0.66363218044271 0.397981449104721 "TRUE" 0.390626612024370 0.609373387975630 0.433050039796215 "FALSE" 0.942049261063284 0.0579507389367157 -1.48494888600256 "1930s"
"16" "TRUE" 6.62475280893942e-07 0.999999337524719 3.6252707309408 "TRUE" 0.120200181627746 0.879799818372254 1.16581277782389 "FALSE" 0.765464741967852 0.234535258032148 -1.15194325027715 "FALSE" 0.990993885509722 0.00900611449027799 -2.50333301118017 "1930s"
"17" "FALSE" 0.781379081087254 0.218620918912746 -0.324558408955806 "TRUE" 0.0893060779424847 0.910693922057515 1.36002439999624 "FALSE" 0.501610437615092 0.498389562384908 -0.00627331093140346 "FALSE" 0.957146030048962 0.042853969951038 -1.65413108560732 "1930s"
"18" "TRUE" 0.0530111813399998 0.94698881866 0.734565748769873 "TRUE" 0.401990644614673 0.598009355385327 0.232618114218667 "FALSE" 0.554812314656604 0.445187685343396 -0.214377101659965 "FALSE" 0.836041550745158 0.163958449254842 -0.867530817457462 "1930s"
"19" "TRUE" 5.59139769585561e-09 0.999999994408602 4.84193166629972 "TRUE" 0.276461927806294 0.723538072193706 0.563468979077142 "FALSE" 0.897061307770147 0.102938692229853 -2.10837293746017 "FALSE" 0.98567126719198 0.0143287328080193 -2.25317647004338 "1930s"
